strain	date	clade_membership	country	division	division_exposure	gisaid_epi_isl	originating_lab	pangolin_lineage	recency	region	region_exposure	subclade_membership	submitting_lab	url	author	accession	location
hCoV-19/Italy/ABR-IZSGC-TE1878/2021	2021-01-02	20I/501Y.V1	Italy	Abruzzo	Abruzzo	EPI_ISL_883287	SIESP DIPARTIMENTO DI PREVENZIONE CHIE	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Istituto Zooprofilattico Sperimentale dell’Abruzzo e Molise “G. Caporale”	NA	Lorusso A, Marcacci M, Di Domenico M, Ancora M, Curini V, Mangone I, Rinaldi A, Scialabba S, Di Pasquale A, Cammà C, Puglia I, Calistri P, Savini G	NA	
hCoV-19/Italy/ABR-IZSGC-TE1876/2021	2021-01-02	20I/501Y.V1	Italy	Abruzzo	Abruzzo	EPI_ISL_883286	SIESP DIPARTIMENTO DI PREVENZIONE CHIE	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Istituto Zooprofilattico Sperimentale dell’Abruzzo e Molise “G. Caporale”	NA	Lorusso A, Marcacci M, Di Domenico M, Ancora M, Curini V, Mangone I, Rinaldi A, Scialabba S, Di Pasquale A, Cammà C, Puglia I, Calistri P, Savini G	NA	
hCoV-19/England/LOND-12F3A85/2021	2021-01-02	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1308985	University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial College Healthcare NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Sergi Castellano, Rachel Williams, Mark Kristiansen, Paola Resende Silva, Sunando Roy, Tony Brooks, Helena Tutill, Paola Niola, Patricia Dyal, Charlotte Williams, Leysa Forrest, Yasmin Panchbhaya, Jacqueline Findlay, Samuel Weeks, Julianne Brown, Kathryn Harris, Paul Randell, James Price, Alison Holmes, Judith Breuer	NA	
hCoV-19/England/LOND-12F3C70/2021	2021-01-02	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1309003	University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial College Healthcare NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Sergi Castellano, Rachel Williams, Mark Kristiansen, Paola Resende Silva, Sunando Roy, Tony Brooks, Helena Tutill, Paola Niola, Patricia Dyal, Charlotte Williams, Leysa Forrest, Yasmin Panchbhaya, Jacqueline Findlay, Samuel Weeks, Julianne Brown, Kathryn Harris, Paul Randell, James Price, Alison Holmes, Judith Breuer	NA	
hCoV-19/Italy/CAM-TIGEM-6437/2021	2021-01-03	20I/501Y.V1	Italy	Campania	Campania	EPI_ISL_1424400	Università Federico II - Dipartimento di scienze mediche traslazionali - Napoli	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	TIGEM	NA	Antonio Grimaldi Patrizia Annunziata Francesco Panariello Michele Cennamo Valentina Bouche Chiara Colantuono Lucio Di Filippo Mariano Fiorenza Anna Manfredi Marcello Salvi Giuseppe Portella Andrea Ballabio Davide Cacchiarelli	NA	
hCoV-19/Italy/CAM-TIGEM-6476/2021	2021-01-03	20I/501Y.V1	Italy	Campania	Campania	EPI_ISL_1424432	Università Federico II - Dipartimento di scienze mediche traslazionali - Napoli	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	TIGEM	NA	Antonio Grimaldi Patrizia Annunziata Francesco Panariello Michele Cennamo Valentina Bouche Chiara Colantuono Lucio Di Filippo Mariano Fiorenza Anna Manfredi Marcello Salvi Giuseppe Portella Andrea Ballabio Davide Cacchiarelli	NA	
hCoV-19/England/LOND-12FA8FD/2021	2021-01-03	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1309115	University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial College Healthcare NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Sergi Castellano, Rachel Williams, Mark Kristiansen, Paola Resende Silva, Sunando Roy, Tony Brooks, Helena Tutill, Paola Niola, Patricia Dyal, Charlotte Williams, Leysa Forrest, Yasmin Panchbhaya, Jacqueline Findlay, Samuel Weeks, Julianne Brown, Kathryn Harris, Paul Randell, James Price, Alison Holmes, Judith Breuer	NA	
hCoV-19/England/LOND-12F4091/2021	2021-01-03	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1309024	University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial College Healthcare NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Sergi Castellano, Rachel Williams, Mark Kristiansen, Paola Resende Silva, Sunando Roy, Tony Brooks, Helena Tutill, Paola Niola, Patricia Dyal, Charlotte Williams, Leysa Forrest, Yasmin Panchbhaya, Jacqueline Findlay, Samuel Weeks, Julianne Brown, Kathryn Harris, Paul Randell, James Price, Alison Holmes, Judith Breuer	NA	
hCoV-19/England/PORT-1E7B5D3/2021	2021-01-03	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1730840	Centre for Enzyme Innovation, University of Portsmouth / Translational Research Laboratory, Portsmouth Hospitals NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Angela Beckett,Salman Goudarzi,Christopher Fearn,Kate Cook,Katie Loveson,Sharon Glaysher,Scott Elliott,Samuel Robson	NA	
hCoV-19/Switzerland/un-UHB-001-31-224049/2021	2021-01-03	20I/501Y.V1	Switzerland			EPI_ISL_896076	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	University Hospital Basel, Clinical Bacteriology	NA	Tim Roloff, Madlen Stange, Helena MB Seth-Smith, Alfredo Mari, Karoline Leuzinger, Julia Bielicki, Christiane Beckmann, Manuel Battegay, Hans Hirsch, Adrian Egli	NA	
hCoV-19/England/LOND-12F3BA0/2021	2021-01-03	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1308994	University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial College Healthcare NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Sergi Castellano, Rachel Williams, Mark Kristiansen, Paola Resende Silva, Sunando Roy, Tony Brooks, Helena Tutill, Paola Niola, Patricia Dyal, Charlotte Williams, Leysa Forrest, Yasmin Panchbhaya, Jacqueline Findlay, Samuel Weeks, Julianne Brown, Kathryn Harris, Paul Randell, James Price, Alison Holmes, Judith Breuer	NA	
hCoV-19/Austria/CeMM2946/2021	2021-01-03	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934629	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM2950/2021	2021-01-03	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934631	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM2944/2021	2021-01-03	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934627	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM2945/2021	2021-01-03	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934628	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Austria/CeMM2949/2021	2021-01-03	20I/501Y.V1	Austria	Vienna	Vienna	EPI_ISL_934630	Austrian Agency for Health and Food Safety (AGES)	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	NA	Lukas Endler, Anna Schedl, Thomas Penz, Benedikt Agerer, Maelle Le Moing, Michael Schuster, Bekir Erguner, Jan Laine, Martin Senekowitsch, Christoph Bock, Andreas Bergthaler	NA	
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-8351/2021	2021-01-04	20I/501Y.V1	Italy	Campania	Campania	EPI_ISL_1633031	Università Federico II - Dipartimento di scienze mediche traslazionali - Napoli	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Telethon Institute of Genetics and Medicine (TIGEM)	NA	Antonio Grimaldi Patrizia Annunziata Francesco Panariello Teresa Giuliano Michele Cennamo Valentina Bouche Chiara Colantuono Lucio Di Filippo Mariano Fiorenza Anna Manfredi Marcello Salvi Giuseppe Portella Andrea Ballabio Davide Cacchiarelli	NA	
hCoV-19/France/un-21012040010/2021	2021-01-04	20I/501Y.V1	France			EPI_ISL_912669	Hôpital Henri Mondor	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Virology, Henri Mondor University Hospital, Assistance Publique Hôpitaux de Paris, Université Paris-Est Créteil, INSERM U955	NA	Christophe Rodriguez, Slim Fourati, Vanessa Demontant, Guillaume Gricourt, Melissa N'Debi, Alexandre Soulier, Elisabeth Trawinski, Jean-Michel Pawlotsky	NA	
hCoV-19/Denmark/DCGC-29086/2021	2021-01-04	20I/501Y.V1	Denmark	Hovedstaden	Hovedstaden	EPI_ISL_844727	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-28633/2021	2021-01-04	20I/501Y.V1	Denmark	Hovedstaden	Hovedstaden	EPI_ISL_844751	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-31136/2021	2021-01-04	20I/501Y.V1	Denmark	Nordjylland	Nordjylland	EPI_ISL_847203	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-38536/2021	2021-01-04	20I/501Y.V1	Denmark	Hovedstaden	Hovedstaden	EPI_ISL_929677	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-28852/2021	2021-01-04	20I/501Y.V1	Denmark	Hovedstaden	Hovedstaden	EPI_ISL_844724	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-31192/2021	2021-01-04	20I/501Y.V1	Denmark	Syddanmark	Syddanmark	EPI_ISL_847204	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-41849/2021	2021-01-04	20I/501Y.V1	Denmark	Hovedstaden	Hovedstaden	EPI_ISL_973578	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-28874/2021	2021-01-04	20I/501Y.V1	Denmark	Hovedstaden	Hovedstaden	EPI_ISL_844725	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/Denmark/DCGC-46489/2021	2021-01-04	20I/501Y.V1	Denmark	Hovedstaden	Hovedstaden	EPI_ISL_1065999	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Aalborg University	NA	Danish Covid-19 Genome Consortium	NA	
hCoV-19/England/LOND-132C28A/2021	2021-01-04	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1637068	University College London Hospital	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Dr Judith Heaney, Matthew Byott, Dr Catherine Houlihan, Dr Daniel Frampton, Stuart Kirk, Dr Moira Spyer, Dr Paul Grant and Dr Eleni Nastouli	NA	
hCoV-19/Switzerland/un-UHB-001-31-237034/2021	2021-01-04	20I/501Y.V1	Switzerland			EPI_ISL_896078	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	University Hospital Basel, Clinical Bacteriology	NA	Tim Roloff, Madlen Stange, Helena MB Seth-Smith, Alfredo Mari, Karoline Leuzinger, Julia Bielicki, Christiane Beckmann, Manuel Battegay, Hans Hirsch, Adrian Egli	NA	
hCoV-19/England/LIVE-DDBC49/2021	2021-01-04	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1474659	Liverpool Clinical Laboratories	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Sam Haldenby, Alistair Darby,  Steve Paterson, Anita Lucaci, Julian Hiscox, M Almsaud, A Alrezaihi, Muhannad Alruwaili, Stuart D Armstrong, Jones Benjamin, Eleanor G Bentley, Anu Chawla, Jordan J Clark, Angela Cowell, Richard Eccles, Isabel García-Dorival, Matthew Gemmell, Alessandro Gerada, PKF Gilmore, Richard Gregory, Ximeng Han, Catherine Hartley, Margaret Hughes, Miren Iturriza-Gomara, James Johnson, L Luu, Jenifer Manson, Charlotte Nelson, Elaine O’Toole, Cassie Olateju, Rebekah Penrice-Randal , Lucille Rainbow, N.P Randle, Trevor Ian Robinson, Parul Sharma, Ghada T Shawli, James P Stewart, Neil Swainston, Ecaterina Vamos, Joanne Watts, Mark Whitehead, Hermione Webster	NA	
